,index,ticker,a_x,b_x,c,d,e,f,g,country,name,industry,a_y,b_y
0,2139,OML,SET1,FS10,OLD,MUTUAL,PLC,GB0007389926,GB,,Old Mutual,Insurance,8.45,"54,368"
1,9267,RBS,SET1,FE10,ROYAL,BANK,OF,SCOTLAND,GROUP,PLC,Royal Bank of Scotland Group,Banking,28.6,"150,000"
2,2153,RBS,SET1,FE10,ROYAL,BANK,OF,SCOTLAND,GROUP,PLC,Royal Bank of Scotland Group,Banking,28.6,"150,000"
3,2028,RSA,SET1,FS10,RSA,INSURANCE,GROUP,PLC,GB0006616899,GB,RSA Insurance Group,Insurance,4.16,"21,000"
4,9067,AZN,SET0,FE00,ASTRAZENECA,PLC,GB0009895292,GB,,,AstraZeneca,Pharmaceuticals,51.23,"57,200"
5,2487,AZN,SET0,FE00,ASTRAZENECA,PLC,GB0009895292,GB,,,AstraZeneca,Pharmaceuticals,51.23,"57,200"
6,4057,VOD,SET0,FE00,VODAFONE,GROUP,PLC,GB00B16GWD56,GB,,Vodafone Group,Telecomms,56.55,"86,373"
7,9086,VOD,SET0,FE00,VODAFONE,GROUP,PLC,GB00B16GWD56,GB,,Vodafone Group,Telecomms,56.55,"86,373"
8,2197,SSE,SET1,FS10,SSE,PLC,GB0007908733,GB,,,SSE plc,Energy,14.03,"19,965"
9,1388,AV.,SET1,FS10,AVIVA,PLC,GB0002162385,GB,,,Aviva,Insurance,17.69,"40,800"
10,3107,ADM,SET1,FS10,ADMIRAL,GROUP,PLC,GB00B02J6398,GB,,Admiral Group,Insurance,4.91,"2,500"
11,3108,ADM,SET1,FS10,ADMIRAL,GROUP,PLC,GB00B02J6398,GB,,Admiral Group,Insurance,4.91,"2,500"
12,9065,GSK,SET0,FE00,GLAXOSMITHKLINE,PLC,GB0009252882,GB,,,GlaxoSmithKline,Pharmaceuticals,67.38,"97,389"
13,2375,GSK,SET0,FE00,GLAXOSMITHKLINE,PLC,GB0009252882,GB,,,GlaxoSmithKline,Pharmaceuticals,67.38,"97,389"
14,1472,BA.,SET1,FS10,BAE,SYSTEMS,PLC,GB0002634946,GB,,BAE Systems,Military,16.01,"107,000"
15,4218,SVT,SET1,FS10,SEVERN,TRENT,PLC,GB00B1FH8J72,GB,,Severn Trent,Water,5.04,"8,051"
16,9073,RDSA,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB,Royal Dutch Shell,Oil and gas,160.12,"90,000"
17,9172,RDSA,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB,Royal Dutch Shell,Oil and gas,160.12,"90,000"
18,9074,RDSA,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB,Royal Dutch Shell,Oil and gas,160.12,"90,000"
19,3202,RDSA,SET0,FE00,ROYAL,DUTCH,SHELL,PLC,GB00B03MLX29,GB,Royal Dutch Shell,Oil and gas,160.12,"90,000"
